Model,Air Mean mAP (%),Naval Mean mAP (%),Ground Mean mAP (%)
naval,0.12316697882946821,0.6858481963592203,0.4623030589055218
generic,0.657574192907361,0.7631577588753365,0.8617952792504313
ground,0.5128768569044818,0.6340166143410108,0.8468109601742435
air_to_ground,0.6383925172946127,0.6613722409829206,0.6128509711194342
