Unnamed: 0,name,F1,F1 Precision,F1 Recall,F1 Threshold,F1 FPPI,mAP,bbox_size_median,bbox_size_std,bbox_size_min,bbox_size_max,num_frames,model
19,drone_detection_dataset_2021_V_DRONE_050,0.7368421052631579,0.9333333333333332,0.6086956521739131,0.17,0.1,0.6041867954911437,19.99864002816,17.599676244783513,7.999488,89.99936,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
20,drone_detection_dataset_2021_V_DRONE_069,1.0,1.0,1.0,0.0,0.0,1.0,25.0,14.11515909085125,8.99846406144,56.84765625,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
21,TIE_2023_20230914T153103_basler_halfres,0.6153846153846153,1.0,0.4444444444444444,0.0,0.0,0.4444444444444445,17.36128279475332,23.90332712956573,10.737658607351351,78.448841089709,4,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
22,TIE_2023_20230914T102858_basler_halfres,0.6153846153846154,0.8,0.5,0.0,0.25,0.475,65.09632662991908,151.40701792316568,20.8312723805681,486.1018388518006,4,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
23,TIE_2023_20230914T130250_basler_halfres,,0.0,0.0,0.0,4.333333333333333,0.0,16.23420056854392,3.4224080430382835,10.416295867033073,16.44816658083657,3,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
24,mantis_2023_20230324T163455_crontab_recording_person_windy_sunny_EO_zoom,0.2191780821917808,0.6666666666666666,0.1311475409836065,0.19,0.1081081081081081,0.1156648451730419,18.868494143219426,109.05260409494564,5.482456140350876,861.2426035502959,37,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
25,leusderheide_20230706_visual_halfres_CPFS7_0333,0.2857142857142857,0.3333333333333333,0.25,0.0,0.5,0.1380208333333333,23.255859375,90.0462660667548,13.020833333333334,382.6530612244899,16,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
26,leusderheide_20230706_visual_halfres_CPFS7_0334,0.1142857142857142,0.1428571428571428,0.0952380952380952,0.3,0.631578947368421,0.0136054421768707,19.51963117192148,29.84381198512932,11.574074074074076,132.31492354334424,19,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
27,leusderheide_20230706_visual_halfres_CPFS7_0332,0.5,1.0,0.3333333333333333,0.76,0.0,0.3333333333333332,18.94921875,95.40112075835673,11.197265625,427.21875,19,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
28,leusderheide_20230705_visual_halfres_CPFS7_0310,0.4150943396226415,0.6470588235294118,0.3055555555555556,0.0,0.2307692307692307,0.2304310069015951,38.16815150842855,54.280012537071066,8.0,311.7774365360933,26,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
29,atr_image_database_01925_0002_cegr_mp4_rescaled_uint8,0.8252148997134672,0.7619047619047619,0.9,0.0,0.5,0.7761775479422539,155.0390625,40.25269341786433,62.015625,175.7109375,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
30,atr_image_database_01925_0012_cegr_mp4_rescaled_uint8,0.7608695652173915,0.8333333333333334,0.7,0.0,0.2,0.6333333333333333,296.296875,60.39514779312263,186.046875,356.58984375,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
31,atr_image_database_01927_0002_cegr_mp4_rescaled_uint8,0.9473684210526316,1.0,0.9,0.0,0.0,0.9000000000000004,107.666015625,20.48359898683855,60.29296875,111.97265625,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
32,mantis_drone_2023_DJI_202309100352_003_wide_hd,0.2506596306068601,0.7142857142857143,0.152,0.0,0.1951219512195122,0.1368429217840982,44.0,32.70166135973399,10.004000256,160.0,41,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
33,rotterdam_harbour_20210308_jai20000_quart,0.8053691275167786,0.967741935483871,0.6896551724137931,0.0,0.0967741935483871,0.6858481963592203,201.875,979.876665907214,5.0,11142.0,93,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
