stack_count,videoset,camera,data_table_path,data_table_x_axis_label,data_table_y_axis_label,data_table_pivot_column
0,drone_detection_dataset_2021,IR_DRONE_155,panoptes/detectionsT2-YOLO-MOSAIC_30f.csv,timestamp,bbox_x,
1,drone_detection_dataset_2021,IR_DRONE_155,panoptes/detectionsT2-YOLO-MOSAIC_30f.csv,timestamp,bbox_x,
2,drone_detection_dataset_2021,V_DRONE_039,panoptes/detectionsT2-YOLO-MOSAIC_30f.csv,timestamp,bbox_x,
2,drone_detection_dataset_2021,V_DRONE_039,panoptes_smallobject/detections_000_mod3fn_dt_1.5_run1.csv,timestamp,bbox_x,
2,drone_detection_dataset_2021,V_DRONE_039,panoptes_smallobject/detections_000_mod3fn_dt_1.5_run1.csv,timestamp,bbox_x,
3,drone_detection_dataset_2021,V_DRONE_039,tyolov8/tracks_proposed-20240326.csv,timestamp,bbox_x,
3,drone_detection_dataset_2021,V_DRONE_039,tyolov8/tracks_proposed-20240326.csv,timestamp,bbox_x,
