aot,V_DRONE_050,/V_DRONE_050/tyolov8/detections_proposed-20240326.csv
videoset,camera,time series
aot,part1/video0001,/V_DRONE_050/tyolov8/detections_proposed-20240326.csv
videoset,camera,time series
drone-tracking,V_DRONE_050,/V_DRONE_050/tyolov8/detections_proposed-20240326.csv
videoset,camera,time series
drone-tracking,V_DRONE_050,/V_DRONE_050/tyolov8/detections_proposed-20240326.csv
