Unnamed: 0,model,recall,precision,model_name,model_type
577,multi-frame-adv-mist-aug,0.77,0.97196261682243,adv-mist-aug,multi-frame
578,multi-frame-adv-mist-aug,0.78,0.936875,adv-mist-aug,multi-frame
579,multi-frame-adv-mist-aug,0.79,0.932948089921774,adv-mist-aug,multi-frame
580,multi-frame-adv-mist-aug,0.8,0.9292570090853352,adv-mist-aug,multi-frame
581,multi-frame-adv-mist-aug,0.81,0.915091346153846,adv-mist-aug,multi-frame
582,multi-frame-adv-mist-aug,0.8200000000000001,0.9083532041728762,adv-mist-aug,multi-frame
583,multi-frame-adv-mist-aug,0.8300000000000001,0.8879917953230753,adv-mist-aug,multi-frame
584,multi-frame-adv-mist-aug,0.84,0.8775758673792916,adv-mist-aug,multi-frame
585,multi-frame-adv-mist-aug,0.85,0.867159939435508,adv-mist-aug,multi-frame
586,multi-frame-adv-mist-aug,0.86,0.8270853210584435,adv-mist-aug,multi-frame
587,multi-frame-adv-mist-aug,0.87,0.7776523780301009,adv-mist-aug,multi-frame
588,multi-frame-adv-mist-aug,0.88,0.7282194350017583,adv-mist-aug,multi-frame
589,multi-frame-adv-mist-aug,0.89,0.6787864919734159,adv-mist-aug,multi-frame
590,multi-frame-adv-mist-aug,0.9,0.6293535489450733,adv-mist-aug,multi-frame
591,multi-frame-adv-mist-aug,0.91,0.5799206059167308,adv-mist-aug,multi-frame
592,multi-frame-adv-mist-aug,0.92,0.0,adv-mist-aug,multi-frame
593,multi-frame-adv-mist-aug,0.93,0.0,adv-mist-aug,multi-frame
594,multi-frame-adv-mist-aug,0.94,0.0,adv-mist-aug,multi-frame
595,multi-frame-adv-mist-aug,0.95,0.0,adv-mist-aug,multi-frame
596,multi-frame-adv-mist-aug,0.96,0.0,adv-mist-aug,multi-frame
597,multi-frame-adv-mist-aug,0.97,0.0,adv-mist-aug,multi-frame
598,multi-frame-adv-mist-aug,0.98,0.0,adv-mist-aug,multi-frame
599,multi-frame-adv-mist-aug,0.99,0.0,adv-mist-aug,multi-frame
400,multi-frame-adv-mist-more-var,0.0,1.0,adv-mist-more-var,multi-frame
401,multi-frame-adv-mist-more-var,0.01,1.0,adv-mist-more-var,multi-frame
402,multi-frame-adv-mist-more-var,0.02,1.0,adv-mist-more-var,multi-frame
403,multi-frame-adv-mist-more-var,0.03,1.0,adv-mist-more-var,multi-frame
404,multi-frame-adv-mist-more-var,0.04,1.0,adv-mist-more-var,multi-frame
405,multi-frame-adv-mist-more-var,0.05,1.0,adv-mist-more-var,multi-frame
406,multi-frame-adv-mist-more-var,0.06,1.0,adv-mist-more-var,multi-frame
407,multi-frame-adv-mist-more-var,0.07,1.0,adv-mist-more-var,multi-frame
408,multi-frame-adv-mist-more-var,0.08,1.0,adv-mist-more-var,multi-frame
409,multi-frame-adv-mist-more-var,0.09,1.0,adv-mist-more-var,multi-frame
410,multi-frame-adv-mist-more-var,0.1,1.0,adv-mist-more-var,multi-frame
411,multi-frame-adv-mist-more-var,0.11,1.0,adv-mist-more-var,multi-frame
412,multi-frame-adv-mist-more-var,0.12,1.0,adv-mist-more-var,multi-frame
413,multi-frame-adv-mist-more-var,0.13,1.0,adv-mist-more-var,multi-frame
414,multi-frame-adv-mist-more-var,0.14,1.0,adv-mist-more-var,multi-frame
415,multi-frame-adv-mist-more-var,0.15,1.0,adv-mist-more-var,multi-frame
416,multi-frame-adv-mist-more-var,0.16,1.0,adv-mist-more-var,multi-frame
417,multi-frame-adv-mist-more-var,0.17,1.0,adv-mist-more-var,multi-frame
418,multi-frame-adv-mist-more-var,0.18,1.0,adv-mist-more-var,multi-frame
419,multi-frame-adv-mist-more-var,0.19,1.0,adv-mist-more-var,multi-frame
420,multi-frame-adv-mist-more-var,0.2,1.0,adv-mist-more-var,multi-frame
421,multi-frame-adv-mist-more-var,0.21,1.0,adv-mist-more-var,multi-frame
422,multi-frame-adv-mist-more-var,0.22,1.0,adv-mist-more-var,multi-frame
423,multi-frame-adv-mist-more-var,0.23,1.0,adv-mist-more-var,multi-frame
424,multi-frame-adv-mist-more-var,0.24,1.0,adv-mist-more-var,multi-frame
425,multi-frame-adv-mist-more-var,0.25,1.0,adv-mist-more-var,multi-frame
426,multi-frame-adv-mist-more-var,0.26,1.0,adv-mist-more-var,multi-frame
427,multi-frame-adv-mist-more-var,0.27,1.0,adv-mist-more-var,multi-frame
428,multi-frame-adv-mist-more-var,0.28,1.0,adv-mist-more-var,multi-frame
429,multi-frame-adv-mist-more-var,0.29,1.0,adv-mist-more-var,multi-frame
430,multi-frame-adv-mist-more-var,0.3,1.0,adv-mist-more-var,multi-frame
431,multi-frame-adv-mist-more-var,0.31,1.0,adv-mist-more-var,multi-frame
432,multi-frame-adv-mist-more-var,0.32,1.0,adv-mist-more-var,multi-frame
433,multi-frame-adv-mist-more-var,0.33,1.0,adv-mist-more-var,multi-frame
434,multi-frame-adv-mist-more-var,0.34,1.0,adv-mist-more-var,multi-frame
435,multi-frame-adv-mist-more-var,0.35,1.0,adv-mist-more-var,multi-frame
436,multi-frame-adv-mist-more-var,0.36,1.0,adv-mist-more-var,multi-frame
437,multi-frame-adv-mist-more-var,0.37,1.0,adv-mist-more-var,multi-frame
438,multi-frame-adv-mist-more-var,0.38,1.0,adv-mist-more-var,multi-frame
439,multi-frame-adv-mist-more-var,0.39,1.0,adv-mist-more-var,multi-frame
440,multi-frame-adv-mist-more-var,0.4,1.0,adv-mist-more-var,multi-frame
441,multi-frame-adv-mist-more-var,0.41,1.0,adv-mist-more-var,multi-frame
442,multi-frame-adv-mist-more-var,0.42,1.0,adv-mist-more-var,multi-frame
443,multi-frame-adv-mist-more-var,0.43,1.0,adv-mist-more-var,multi-frame
444,multi-frame-adv-mist-more-var,0.44,1.0,adv-mist-more-var,multi-frame
445,multi-frame-adv-mist-more-var,0.45,1.0,adv-mist-more-var,multi-frame
446,multi-frame-adv-mist-more-var,0.46,1.0,adv-mist-more-var,multi-frame
447,multi-frame-adv-mist-more-var,0.47,1.0,adv-mist-more-var,multi-frame
448,multi-frame-adv-mist-more-var,0.48,1.0,adv-mist-more-var,multi-frame
449,multi-frame-adv-mist-more-var,0.49,1.0,adv-mist-more-var,multi-frame
450,multi-frame-adv-mist-more-var,0.5,1.0,adv-mist-more-var,multi-frame
451,multi-frame-adv-mist-more-var,0.51,1.0,adv-mist-more-var,multi-frame
452,multi-frame-adv-mist-more-var,0.52,1.0,adv-mist-more-var,multi-frame
453,multi-frame-adv-mist-more-var,0.53,1.0,adv-mist-more-var,multi-frame
454,multi-frame-adv-mist-more-var,0.54,1.0,adv-mist-more-var,multi-frame
455,multi-frame-adv-mist-more-var,0.55,1.0,adv-mist-more-var,multi-frame
456,multi-frame-adv-mist-more-var,0.56,1.0,adv-mist-more-var,multi-frame
457,multi-frame-adv-mist-more-var,0.5700000000000001,0.997267441860465,adv-mist-more-var,multi-frame
458,multi-frame-adv-mist-more-var,0.58,0.994186046511628,adv-mist-more-var,multi-frame
459,multi-frame-adv-mist-more-var,0.59,0.994186046511628,adv-mist-more-var,multi-frame
460,multi-frame-adv-mist-more-var,0.6,0.994186046511628,adv-mist-more-var,multi-frame
461,multi-frame-adv-mist-more-var,0.61,0.9887640449438202,adv-mist-more-var,multi-frame
462,multi-frame-adv-mist-more-var,0.62,0.9837837837837838,adv-mist-more-var,multi-frame
463,multi-frame-adv-mist-more-var,0.63,0.9837837837837838,adv-mist-more-var,multi-frame
464,multi-frame-adv-mist-more-var,0.64,0.9788359788359788,adv-mist-more-var,multi-frame
465,multi-frame-adv-mist-more-var,0.65,0.9788359788359788,adv-mist-more-var,multi-frame
466,multi-frame-adv-mist-more-var,0.66,0.9620765326044514,adv-mist-more-var,multi-frame
467,multi-frame-adv-mist-more-var,0.67,0.9523349420369172,adv-mist-more-var,multi-frame
468,multi-frame-adv-mist-more-var,0.68,0.9322562296858072,adv-mist-more-var,multi-frame
469,multi-frame-adv-mist-more-var,0.6900000000000001,0.9295774647887324,adv-mist-more-var,multi-frame
470,multi-frame-adv-mist-more-var,0.7000000000000001,0.9275713916526684,adv-mist-more-var,multi-frame
471,multi-frame-adv-mist-more-var,0.71,0.9211864616910488,adv-mist-more-var,multi-frame
472,multi-frame-adv-mist-more-var,0.72,0.9080478632478632,adv-mist-more-var,multi-frame
473,multi-frame-adv-mist-more-var,0.73,0.9006358974358974,adv-mist-more-var,multi-frame
474,multi-frame-adv-mist-more-var,0.74,0.8924190836485919,adv-mist-more-var,multi-frame
475,multi-frame-adv-mist-more-var,0.75,0.8835907944514503,adv-mist-more-var,multi-frame
476,multi-frame-adv-mist-more-var,0.76,0.8672352182722417,adv-mist-more-var,multi-frame
477,multi-frame-adv-mist-more-var,0.77,0.84799930268663,adv-mist-more-var,multi-frame
478,multi-frame-adv-mist-more-var,0.78,0.798618200758984,adv-mist-more-var,multi-frame
479,multi-frame-adv-mist-more-var,0.79,0.7183748962214969,adv-mist-more-var,multi-frame
480,multi-frame-adv-mist-more-var,0.8,0.6838085008439463,adv-mist-more-var,multi-frame
481,multi-frame-adv-mist-more-var,0.81,0.6492421054663958,adv-mist-more-var,multi-frame
