,recall,precision
0,0.7224287484510533,0.43884615384615383
1,0.7224287484510533,0.43884615384615383
2,0.7224287484510533,0.43884615384615383
3,0.7224287484510533,0.43884615384615383
4,0.7224287484510533,0.43884615384615383
5,0.7224287484510533,0.43884615384615383
6,0.6995043370508055,0.4656842105263158
7,0.6908302354399009,0.49748743718592964
8,0.6796778190830235,0.5212298682284041
9,0.6654275092936803,0.5403726708074534
10,0.6530359355638166,0.5580381471389646
11,0.6437422552664188,0.5697278911564626
12,0.6356877323420075,0.5863905325443787
13,0.6245353159851301,0.6020974706971005
14,0.6201982651796778,0.618682021753039
15,0.614002478314746,0.6325857519788918
16,0.6102850061957868,0.645933014354067
17,0.6059479553903345,0.6550279329608939
18,0.5985130111524164,0.6661870503597123
19,0.5916976456009914,0.6765578635014837
20,0.5885997521685254,0.6855631141345427
21,0.5811648079306072,0.6951788491446346
22,0.5780669144981413,0.7038796516231196
23,0.5724907063197026,0.7087691069991955
24,0.5662949194547707,0.7220843672456576
25,0.5619578686493185,0.7305743243243243
26,0.5607187112763321,0.7388698630136986
27,0.5551425030978935,0.7447735191637631
28,0.5483271375464684,0.75
29,0.540272614622057,0.7549909255898367
30,0.5359355638166047,0.7669452181987001
31,0.5328376703841388,0.7728557964184731
32,0.5272614622057001,0.7779904306220096
33,0.523543990086741,0.7827352085354026
34,0.5185873605947955,0.794234592445328
35,0.5173482032218092,0.8032290615539859
36,0.5148698884758365,0.815653964984552
37,0.5105328376703842,0.8221757322175732
38,0.506815365551425,0.8297872340425532
39,0.5018587360594795,0.8376623376623377
40,0.4962825278810409,0.8465783664459161
41,0.49256505576208176,0.8568207440811725
42,0.49070631970260226,0.8651428571428571
43,0.4882280049566295,0.8685121107266436
44,0.4838909541511772,0.8757327080890973
45,0.48203221809169766,0.8888888888888888
46,0.4745972738537794,0.8921212121212121
47,0.46902106567534074,0.895320197044335
48,0.4628252788104089,0.9011264080100125
49,0.45539033457249073,0.9101412066752247
50,0.44981412639405205,0.9138381201044387
51,0.44175960346964066,0.9174434087882823
52,0.43804213135068154,0.9204851752021563
53,0.4355638166047088,0.9250681198910081
54,0.4306071871127633,0.9320388349514563
55,0.4231722428748451,0.93342776203966
56,0.4200743494423792,0.9382183908045977
57,0.41016109045848825,0.9396170839469808
58,0.4052044609665427,0.93993993993994
59,0.39776951672862454,0.9403669724770642
60,0.39281288723667906,0.9498432601880877
61,0.3909541511771995,0.9509493670886076
62,0.3828996282527881,0.9515347334410339
63,0.3748451053283767,0.9538714991762768
64,0.3674101610904585,0.9561551433389545
65,0.35749690210656754,0.9561551433389545
66,0.35192069392812886,0.9594356261022927
67,0.3426270136307311,0.9618181818181818
68,0.32899628252788105,0.9695817490494296
69,0.3184634448574969,0.9704142011834319
70,0.31164807930607186,0.9704142011834319
71,0.2930607187112763,0.9744136460554371
72,0.2781908302354399,0.9752808988764045
73,0.2577447335811648,0.9757869249394673
74,0.24411400247831475,0.9769230769230769
75,0.22676579925650558,0.9779005524861878
76,0.20755885997521686,0.9815950920245399
77,0.18587360594795538,0.9830508474576272
78,0.16047087980173483,0.9883720930232558
79,0.13568773234200743,0.9907834101382489
80,0.10346964064436183,0.9939393939393939
81,0.08240396530359356,0.9939393939393939
82,0.057001239157372985,0.9939393939393939
83,0.040892193308550186,1.0
84,0.020446096654275093,1.0
85,0.009913258983890954,1.0
86,0.004956629491945477,1.0
87,0.0024783147459727386,1.0
88,0.0006195786864931846,1.0
89,0.0006195786864931846,1.0
90,0.0006195786864931846,1.0
