bbox_x,bbox_y,bbox_w,bbox_h,class_id,label,confidence,timestamp,track_id,n
498,210,16,17,0,object,0.1246333792805671,0.967,3,10
598,852,22,26,0,object,0.0837504342198371,0.967,8,32
1853,125,35,26,0,object,0.1704146116971969,0.967,10,15
1820,56,73,67,0,object,0.1955888420343399,0.967,11,15
1018,778,31,57,0,object,0.1117626875638961,0.967,12,12
501,842,48,29,0,object,0.1060927286744117,0.967,16,15
1128,868,52,31,0,object,0.1333635598421096,0.967,17,23
345,1034,27,43,0,object,0.1376755684614181,0.967,18,11
510,880,20,36,0,object,0.102615088224411,0.967,19,15
643,927,30,20,0,object,0.1787769347429275,0.967,20,9
875,838,21,26,0,object,0.1479631215333938,0.967,23,6
29,1055,18,18,0,object,0.086290568113327,0.967,28,3
674,302,34,19,0,object,0.1732403934001922,0.967,30,9
502,802,66,55,0,object,0.1710324436426162,0.967,34,13
581,702,33,17,0,object,0.0939194336533546,0.967,36,1
581,702,33,17,0,object,0.0939194336533546,0.967,36,-1
1855,125,32,25,0,object,0.0823213532567024,1.433,10,27
1820,56,73,69,0,object,0.2418915629386901,1.433,11,29
651,926,29,16,0,object,0.1151581481099128,1.433,20,33
1781,126,46,24,0,object,0.1674837917089462,1.433,29,13
675,302,33,19,0,object,0.101118303835392,1.433,30,23
815,964,35,23,0,object,0.0909874588251113,1.433,38,11
326,164,15,14,0,object,0.0830802991986274,1.433,48,6
1205,893,37,46,0,object,0.131281778216362,1.433,50,3
510,880,20,36,0,object,0.102615088224411,0.967,19,-1
1821,58,69,66,0,object,0.1928923279047012,1.9,11,43
1018,775,31,68,0,object,0.2129213213920593,1.9,12,23
647,925,30,20,0,object,0.2270761728286743,1.9,20,53
674,301,33,20,0,object,0.2983019053936004,1.9,30,37
815,964,35,21,0,object,0.1349008977413177,1.9,38,24
1042,654,17,20,0,object,0.0994117185473442,1.9,49,17
1207,889,36,49,0,object,0.0832556709647178,1.9,50,12
1584,352,25,19,0,object,0.0815649852156639,1.9,61,3
29,1054,25,23,0,object,0.1233790069818496,1.9,62,2
0,802,24,25,0,object,0.0954653993248939,1.9,63,2
1873,895,16,30,0,object,0.0961923450231552,1.9,65,1
326,164,15,14,0,object,0.0830802991986274,1.433,48,-1
1818,56,73,71,0,object,0.2306288331747055,2.367,11,57
1019,780,30,61,0,object,0.1604319214820861,2.367,12,37
648,924,30,22,0,object,0.1664465814828872,2.367,20,81
674,302,34,19,0,object,0.3056656420230865,2.367,30,51
1045,653,15,20,0,object,0.1074037328362464,2.367,49,32
28,1053,24,23,0,object,0.1634359806776046,2.367,62,15
